States/UTs,"Protection of Children from Sexual Offences Act 2012/IPC Sections 376, 354 & 509",Sec.4 & 6 of POCSO Act/Sec.376 of IPC,Sec.8 & 10 of POCSO Act/Sec.354 of IPC,Sec.12 of POCSO Act/Sec.509 of IPC,Sec.14 & 15 of POCSO Act,Other Sections of POCSO Act
Andhra Pradesh,844,419,219,111,10,85
Arunachal Pradesh,44,38,3,0,0,3
Assam,967,613,192,50,17,95
Bihar,456,304,57,10,3,82
Chhattisgarh,1354,859,435,12,0,48
Goa,60,49,8,1,0,2
Gujarat,1132,615,218,10,1,288
Haryana,1105,570,389,67,3,76
Himachal Pradesh,171,113,49,5,0,4
Jammu & Kashmir,19,14,5,0,0,0
Jharkhand,176,124,14,5,0,33
Karnataka,1411,897,219,79,8,208
Kerala,2391,1104,631,84,56,516
Madhya Pradesh,4118,1645,2307,31,8,127
Maharashtra,4354,1885,2249,56,4,160
Manipur,35,21,9,3,0,2
Meghalaya,298,175,69,1,0,53
Mizoram,197,119,68,1,4,5
Nagaland,36,22,14,0,0,0
Odisha,978,888,51,11,0,28
Punjab,424,267,127,3,0,27
Rajasthan,1656,811,422,23,11,389
Sikkim,78,32,16,5,0,25
Tamil Nadu,1314,885,242,74,5,108
Telangana,1177,614,190,171,2,200
Tripura,137,91,42,1,0,3
Uttar Pradesh,6782,3817,2704,17,14,230
Uttarakhand,123,95,28,0,0,0
West Bengal,NA,NA,NA,NA,NA,NA
TOTAL STATES,31837,17086,10977,831,146,2797
A & N Islands,68,45,14,5,0,4
Chandigarh,68,41,22,1,0,4
D&N Haveli,1,0,0,0,0,1
Daman & Diu,1,1,0,0,0,0
Delhi UT,1379,705,555,104,0,15
Lakshadweep,4,3,1,0,0,0
Puducherry,48,24,19,4,1,0
Total UTs,1569,819,611,114,1,24
Total All-India,33406,17905,11588,945,147,2821
